Year,State,Plant name,Plant-level sector,eGRID subregion name,Plant FIPS state code,Plant FIPS county code,Plant county name,latitude,longitude,Number of units,Number of generators,Primary fuel source,Plant capacity factor,Plant nameplate capacity (MW),Nonbaseload Factor,CHP plant useful thermal output (MMBtu),CHP plant power to heat ratio,CHP plant electric allocation factor,Plant annual heat input from combustion (MMBtu),Plant total annual heat input (MMBtu),Plant annual net generation (MWh),Plant annual CO2 emissions (tons),Plant annual CO2 equivalent emissions (tons),Plant annual CO2 total output emission rate (lb/MWh),Plant annual CO2 equivalent total output emission rate (lb/MWh),Plant annual CO2 input emission rate (lb/MMBtu),Plant annual CO2 equivalent input emission rate (lb/MMBtu),Plant nominal heat rate (Btu/kWh),Plant annual coal net generation (MWh),Plant annual oil net generation (MWh),Plant annual gas net generation (MWh)
2022.0,CA,Roll Lost Hills,IPP Non-CHP,WECC California,06,029,Kern,35.653056,-119.889722,1.0,1.0,GAS,0.67466,1.1,0.208904109589041,,,,,46068.0,6501.0,,,,,,,,0.0,0.0,6501.0
2022.0,CA,Roseville Energy Park,Electric Utility,WECC California,06,061,Placer,38.7928,-121.3811,4.0,5.0,GAS,0.30821,225.0,0.819651615085405,,,,5043358.325,5043358.325,607480.0,299719.415,300025.419,986.763,987.771,118.857,118.978,8302.098543,0.0,0.0,607479.94
2022.0,CA,Roseville Power Plant #2,Electric Utility,WECC California,06,061,Placer,38.810677,-121.323807,2.0,2.0,GAS,0.01008,66.0,1.0,,,,102742.0,102742.0,5826.0,6004.708,6010.929,2061.348,2063.484,116.889,117.01,17635.084106,0.0,3.926,5822.074
2022.0,CA,Russell City Energy Company LLC,IPP Non-CHP,WECC California,06,001,Alameda,37.63466,-122.13381,2.0,3.0,GAS,0.1808,655.0,1.0,,,,7662470.474,7662470.474,1037388.0,455369.244,455825.103,877.915,878.794,118.857,118.976,7386.311076,0.0,0.0,1037388.0
2022.0,CA,Saint Agnes Medical Center,Commercial CHP,WECC California,06,019,Fresno,36.8347,-119.7667,2.0,2.0,GAS,0.38271,7.0,0.695477277669058,269033.6,0.298,0.284159,123084.27,123084.27,23468.0,7193.602,7201.038,613.056,613.69,116.889,117.01,5244.770305,0.0,0.0,23468.0
2022.0,CA,Saint Johns Health Center,Commercial CHP,WECC California,06,037,Los Angeles,34.030318,-118.47844,1.0,1.0,GAS,,1.2,,,,,,,,,,,,,,,,,
2022.0,CA,Salinas River Cogeneration Facility,IPP CHP,WECC California,06,053,Monterey,35.9515,-120.8679,1.0,1.0,GAS,0.78573,38.9,0.0237857676671633,1374404.8,0.665,0.469922,1770086.763,1770086.763,267748.0,105191.632,105294.363,785.751,786.518,118.855,118.971,6611.017683,0.0,0.0,267748.0
2022.0,CA,San Antonio Regional Hospital,Commercial CHP,WECC California,06,071,San Bernardino,34.1019,-117.6381,3.0,3.0,GAS,0.0,2.7,,18352.0,0.0,0.0,,,0.0,,,,,,,,0.0,0.0,0.0
2022.0,CA,San Diego Community College,IPP Non-CHP,WECC California,06,073,San Diego,32.805901,-117.167738,1.0,1.0,GAS,0.89418,1.0,0.0,,,,,56997.0,7833.0,,,,,,,,0.0,0.0,7833.0
2022.0,CA,San Diego State University,Commercial CHP,WECC California,06,073,San Diego,32.778225,-117.070114,7.0,7.0,GAS,0.47956,15.1,0.534070176499642,306468.8,0.706,0.485044,394203.915,399229.915,63434.0,23039.062,23062.875,726.395,727.146,116.889,117.01,6362.129649,0.0,0.0,61961.0
2022.0,CA,San Jose Cogeneration,Commercial CHP,WECC California,06,085,Santa Clara,37.336113,-121.878332,1.0,1.0,GAS,0.45976,6.0,0.567066210045662,130516.0,0.632,0.457275,176220.62,176220.62,24165.0,10299.131,10309.776,852.401,853.282,116.889,117.01,7292.390668,0.0,0.0,24165.0
2022.0,CA,San Manuel Central Plant Cogens,Industrial CHP,WECC California,06,071,San Bernardino,34.151193,-117.23025,2.0,2.0,GAS,0.0,5.4,,0.0,,1.0,,,0.0,,,,,,,,0.0,0.0,0.0
2022.0,CA,Santa Clara Cogen,Electric Utility,WECC California,06,085,Santa Clara,37.364297,-121.944238,2.0,2.0,GAS,0.40443,7.8,0.659280724349217,94744.0,0.995,0.570316,253994.396,253994.396,27634.0,14844.583,14859.926,1074.371,1075.481,116.889,117.01,9191.372795,0.0,0.0,27634.0
2022.0,CA,Santa Rita Jail Fuel Cell,IPP CHP,WECC California,06,001,Alameda,37.719166,-121.886944,1.0,1.0,GAS,0.90036,1.4,0.0,0.0,,1.0,,96015.0,11042.0,,,,,,,,0.0,0.0,11042.0
2022.0,CA,Santa Rita Jail Hybrid,IPP CHP,WECC California,06,001,Alameda,37.719167,-121.886944,4.0,4.0,GAS,0.31563,4.9,0.807287298481036,0.0,,1.0,,76431.0,13548.0,,,,,,,,0.0,0.0,11091.0
2022.0,CA,Sargent Canyon Cogeneration,IPP CHP,WECC California,06,053,Monterey,35.9359,-120.8408,1.0,1.0,GAS,,38.2,,,,,,,,,,,,,,,,,
2022.0,CA,"SC 1 Data Center, Phase 2",Commercial Non-CHP,WECC California,06,085,Santa Clara,37.361667,-121.943611,44.0,44.0,OIL,0.00128,99.6,1.0,,,,12702.984,12702.984,1117.996,1037.364,1040.918,1855.756,1862.114,163.326,163.886,11362.239714,0.0,1118.0,0.0
